Interaction index,Player index,Opponent index,Repetition,Player name,Opponent name,Score,Score difference,Win,Turns,Winner List
0,0,0,0,Cooperator,Cooperator,309,0,0,103,"[0, 0, 1]"
0,0,0,0,Cooperator,Cooperator,309,0,0,103,"[0, 0, 1]"
1,0,0,1,Cooperator,Cooperator,309,0,0,103,"[0, 0, 1]"
1,0,0,1,Cooperator,Cooperator,309,0,0,103,"[0, 0, 1]"
2,0,0,2,Cooperator,Cooperator,288,0,0,96,"[0, 0, 1]"
2,0,0,2,Cooperator,Cooperator,288,0,0,96,"[0, 0, 1]"
3,0,0,3,Cooperator,Cooperator,297,0,0,99,"[0, 0, 1]"
3,0,0,3,Cooperator,Cooperator,297,0,0,99,"[0, 0, 1]"
4,0,0,4,Cooperator,Cooperator,300,0,0,100,"[0, 0, 1]"
4,0,0,4,Cooperator,Cooperator,300,0,0,100,"[0, 0, 1]"
5,0,1,0,Cooperator,Defector,0,-545,0,109,"[0, 1, 0]"
5,1,0,0,Defector,Cooperator,545,545,1,109,"[0, 1, 0]"
6,0,1,1,Cooperator,Defector,0,-530,0,106,"[0, 1, 0]"
6,1,0,1,Defector,Cooperator,530,530,1,106,"[0, 1, 0]"
7,0,1,2,Cooperator,Defector,0,-475,0,95,"[0, 1, 0]"
7,1,0,2,Defector,Cooperator,475,475,1,95,"[0, 1, 0]"
8,0,1,3,Cooperator,Defector,0,-500,0,100,"[0, 1, 0]"
8,1,0,3,Defector,Cooperator,500,500,1,100,"[0, 1, 0]"
9,0,1,4,Cooperator,Defector,0,-510,0,102,"[0, 1, 0]"
9,1,0,4,Defector,Cooperator,510,510,1,102,"[0, 1, 0]"
10,0,2,0,Cooperator,Tit For Tat,300,0,0,100,"[0, 0, 1]"
10,2,0,0,Tit For Tat,Cooperator,300,0,0,100,"[0, 0, 1]"
11,0,2,1,Cooperator,Tit For Tat,288,0,0,96,"[0, 0, 1]"
11,2,0,1,Tit For Tat,Cooperator,288,0,0,96,"[0, 0, 1]"
12,0,2,2,Cooperator,Tit For Tat,282,0,0,94,"[0, 0, 1]"
12,2,0,2,Tit For Tat,Cooperator,282,0,0,94,"[0, 0, 1]"
13,0,2,3,Cooperator,Tit For Tat,315,0,0,105,"[0, 0, 1]"
13,2,0,3,Tit For Tat,Cooperator,315,0,0,105,"[0, 0, 1]"
14,0,2,4,Cooperator,Tit For Tat,291,0,0,97,"[0, 0, 1]"
14,2,0,4,Tit For Tat,Cooperator,291,0,0,97,"[0, 0, 1]"
15,1,1,0,Defector,Defector,94,0,0,94,"[0, 0, 1]"
15,1,1,0,Defector,Defector,94,0,0,94,"[0, 0, 1]"
16,1,1,1,Defector,Defector,98,0,0,98,"[0, 0, 1]"
16,1,1,1,Defector,Defector,98,0,0,98,"[0, 0, 1]"
17,1,1,2,Defector,Defector,105,0,0,105,"[0, 0, 1]"
17,1,1,2,Defector,Defector,105,0,0,105,"[0, 0, 1]"
18,1,1,3,Defector,Defector,102,0,0,102,"[0, 0, 1]"
18,1,1,3,Defector,Defector,102,0,0,102,"[0, 0, 1]"
19,1,1,4,Defector,Defector,101,0,0,101,"[0, 0, 1]"
19,1,1,4,Defector,Defector,101,0,0,101,"[0, 0, 1]"
20,1,2,0,Defector,Tit For Tat,100,5,1,96,"[1, 0, 0]"
20,2,1,0,Tit For Tat,Defector,95,-5,0,96,"[1, 0, 0]"
21,1,2,1,Defector,Tit For Tat,105,5,1,101,"[1, 0, 0]"
21,2,1,1,Tit For Tat,Defector,100,-5,0,101,"[1, 0, 0]"
22,1,2,2,Defector,Tit For Tat,107,5,1,103,"[1, 0, 0]"
22,2,1,2,Tit For Tat,Defector,102,-5,0,103,"[1, 0, 0]"
23,1,2,3,Defector,Tit For Tat,97,5,1,93,"[1, 0, 0]"
23,2,1,3,Tit For Tat,Defector,92,-5,0,93,"[1, 0, 0]"
24,1,2,4,Defector,Tit For Tat,104,5,1,100,"[1, 0, 0]"
24,2,1,4,Tit For Tat,Defector,99,-5,0,100,"[1, 0, 0]"
25,2,2,0,Tit For Tat,Tit For Tat,312,0,0,104,"[0, 0, 1]"
25,2,2,0,Tit For Tat,Tit For Tat,312,0,0,104,"[0, 0, 1]"
26,2,2,1,Tit For Tat,Tit For Tat,279,0,0,93,"[0, 0, 1]"
26,2,2,1,Tit For Tat,Tit For Tat,279,0,0,93,"[0, 0, 1]"
27,2,2,2,Tit For Tat,Tit For Tat,294,0,0,98,"[0, 0, 1]"
27,2,2,2,Tit For Tat,Tit For Tat,294,0,0,98,"[0, 0, 1]"
28,2,2,3,Tit For Tat,Tit For Tat,285,0,0,95,"[0, 0, 1]"
28,2,2,3,Tit For Tat,Tit For Tat,285,0,0,95,"[0, 0, 1]"
29,2,2,4,Tit For Tat,Tit For Tat,294,0,0,98,"[0, 0, 1]"
29,2,2,4,Tit For Tat,Tit For Tat,294,0,0,98,"[0, 0, 1]"
